 
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1122","Wien-Fischamend concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2017","Erika concentration camp","Kamp Ommen","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1917","Tychów concentration camp","Zwangsarbeitslager für Juden Tychów","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2585","Loriol concentration camp","","4.823778","44.751894",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/483","Liebau concentration camp","","15.9937","50.707901","http://data.ehri-project.eu/vocabularies/ehri-camps/433"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1690","Jelnia concentration camp","Zwangsarbeitslager für Juden Jelnia","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/482","Langenbielau II concentration camp","","16.6229","50.6908","http://data.ehri-project.eu/vocabularies/ehri-camps/433"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1387","Heimdorf concentration camp","Zwangsarbeitslager für Juden Heimdorf","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1254","Hirschfelde concentration camp","Zwangsarbeitslager für Juden Hirschfelde","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1121","Wien-Leopoldstadt concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2149","Novaia Praga concentration camp","Nova Praha concentration camp","32.9","48.566666",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2016","Barneveld concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2015","Moringen-Solling concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1916","Turkowice concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2451","Ostrołęka concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2584","Montélimar concentration camp","","4.7495","44.556944",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1120","Wien-Essling concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/481","Langenbielau I concentration camp","Reichenbach concentration camp","16.616699","50.6833","http://data.ehri-project.eu/vocabularies/ehri-camps/433"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/179","Augsburg-Oberbürgermeister concentration camp","","","","http://data.ehri-project.eu/vocabularies/ehri-camps/177"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1386","Hasenheide concentration camp","Zwangsarbeitslager für Juden Hasenheide","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1253","Hirschberg concentration camp","Arbeitslager Hirschberg","15.7194","50.9044","http://data.ehri-project.eu/vocabularies/ehri-camps/433"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2148","Neubrücke concentration camp","Neubrücke-Hoppstädten concentration camp","7.1833","49.599998","http://data.ehri-project.eu/vocabularies/ehri-camps/108"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/709","Dessauer Ufer concentration camp","","","","http://data.ehri-project.eu/vocabularies/ehri-camps/685"
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2014","Fünfbrunnen concentration camp","","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2583","Akbou concentration camp","","4.535","36.4575",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/1915","Czestochowa prison","Schweres NS-Gefängnis Czestochowa","","",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2147","Nemirov concentration camp","Nemyriv concentration camp","28.85","48.966666",""
  "http://data.ehri-project.eu/vocabularies/ehri-camps/2450","Orlintsy concentration camp","","","",""
